model	perturbation	language	task	probing_location	dev_acc	test_acc
chLSTM		Bulgarian	aspect_verb	first	84.95	82.05
chLSTM		Bulgarian	aspect_verb	last	81.1	82.15
chLSTM		Bulgarian	definite_adj	first	98.25	98.1
chLSTM		Bulgarian	definite_adj	last	99.4	99.5
chLSTM		Bulgarian	definite_noun	first	93.9	91.5
chLSTM		Bulgarian	definite_noun	last	95.8	92.15
chLSTM		Bulgarian	gender_adj	first	99.65174129353234	99.10447761194033
chLSTM		Bulgarian	gender_adj	last	99.8507462686567	99.30348258706469
chLSTM		Bulgarian	gender_noun	first	81.44278606965175	80.54726368159204
chLSTM		Bulgarian	gender_noun	last	88.55721393034825	86.91542288557213
chLSTM		Bulgarian	number_adj	first	98.1	97.75
chLSTM		Bulgarian	number_adj	last	99.0	98.25
chLSTM		Bulgarian	number_verb	first	96.75	96.6
chLSTM		Bulgarian	number_verb	last	97.4	98.7
chLSTM		Bulgarian	person_verb	first	93.45	90.84577114427859
chLSTM		Bulgarian	person_verb	last	93.85	93.58208955223881
chLSTM		Bulgarian	tense_verb	first	88.7	84.37810945273631
chLSTM		Bulgarian	tense_verb	last	87.45	83.681592039801
chLSTM		Bulgarian	verbform_verb	first	98.2	97.85
chLSTM		Bulgarian	verbform_verb	last	96.8	95.65
chLSTM		Bulgarian	voice_verb	first	99.05	97.7
chLSTM		Bulgarian	voice_verb	last	98.15	97.05
chLSTM		Catalan	gender_adj	first	99.2	98.7
chLSTM		Catalan	gender_adj	last	100.0	99.65
chLSTM		Catalan	gender_noun	first	94.15	92.7
chLSTM		Catalan	gender_noun	last	91.85	92.3
chLSTM		Catalan	mood_verb	first	99.05	98.0
chLSTM		Catalan	mood_verb	last	98.75	98.9
chLSTM		Catalan	number_adj	first	99.75	99.4
chLSTM		Catalan	number_adj	last	100.0	99.25
chLSTM		Catalan	number_noun	first	99.65	97.9
chLSTM		Catalan	number_noun	last	99.15	97.7
chLSTM		Catalan	number_verb	first	99.05	97.95
chLSTM		Catalan	number_verb	last	99.5	99.2
chLSTM		Catalan	tense_verb	first	93.0	94.15
chLSTM		Catalan	tense_verb	last	95.3	95.95
chLSTM		Catalan	verbform_verb	first	97.72277227722773	95.64356435643563
chLSTM		Catalan	verbform_verb	last	99.35643564356435	99.15841584158416
chLSTM		Croatian	case_adj	first	75.95	78.11881188118812
chLSTM		Croatian	case_adj	last	71.75	72.42574257425743
chLSTM		Croatian	case_noun	first	67.6847290640394	69.70588235294117
chLSTM		Croatian	case_noun	last	61.6256157635468	59.50980392156863
chLSTM		Croatian	definite_adj	first	97.95	97.25
chLSTM		Croatian	definite_adj	last	98.2	96.95
chLSTM		Croatian	gender_adj	first	80.74626865671641	71.64179104477611
chLSTM		Croatian	gender_adj	last	86.31840796019902	79.40298507462686
chLSTM		Croatian	gender_noun	first	71.49253731343285	65.77114427860697
chLSTM		Croatian	gender_noun	last	77.363184079602	74.72636815920399
chLSTM		Croatian	number_adj	first	87.05	85.65
chLSTM		Croatian	number_adj	last	87.25	87.1
chLSTM		Croatian	number_noun	first	82.75	83.25
chLSTM		Croatian	number_noun	last	84.35	82.1
chLSTM		Croatian	number_verb	first	96.3	94.65
chLSTM		Croatian	number_verb	last	97.5	96.65
chLSTM		Croatian	tense_verb	first	99.8	97.9
chLSTM		Croatian	tense_verb	last	99.75	99.1
chLSTM		Croatian	verbform_verb	first	98.65671641791045	98.25870646766168
chLSTM		Croatian	verbform_verb	last	100.0	98.85572139303483
chLSTM		Czech	animacy_adj	first	68.8	64.8
chLSTM		Czech	animacy_adj	last	77.65	71.6
chLSTM		Czech	animacy_noun	first	78.05	62.6
chLSTM		Czech	animacy_noun	last	81.2	65.45
chLSTM		Czech	animacy_propn	first	75.3	73.9
chLSTM		Czech	animacy_propn	last	72.45	71.2
chLSTM		Czech	animacy_verb	first	94.4	94.45
chLSTM		Czech	animacy_verb	last	94.65	93.95
chLSTM		Czech	aspect_adj	first	92.2	89.95
chLSTM		Czech	aspect_adj	last	91.7	89.4
chLSTM		Czech	aspect_verb	first	86.3	85.6
chLSTM		Czech	aspect_verb	last	82.55	85.5
chLSTM		Czech	case_adj	first	71.76470588235293	70.3921568627451
chLSTM		Czech	case_adj	last	73.52941176470588	70.14705882352942
chLSTM		Czech	case_propn	first	69.55882352941177	65.68627450980394
chLSTM		Czech	case_propn	last	70.19607843137256	66.37254901960783
chLSTM		Czech	degree_adj	first	99.4	99.05
chLSTM		Czech	degree_adj	last	99.75	97.4
chLSTM		Czech	gender_adj	first	62.33830845771145	59.70149253731343
chLSTM		Czech	gender_adj	last	70.04975124378109	69.1044776119403
chLSTM		Czech	gender_noun	first	65.32338308457712	58.80597014925373
chLSTM		Czech	gender_noun	last	74.82587064676616	68.65671641791046
chLSTM		Czech	gender_propn	first	63.5820895522388	57.96019900497513
chLSTM		Czech	gender_propn	last	69.70149253731344	63.7313432835821
chLSTM		Czech	gender_verb	first	88.90547263681592	82.636815920398
chLSTM		Czech	gender_verb	last	89.1542288557214	83.43283582089552
chLSTM		Czech	mood_verb	first	99.2	93.2
chLSTM		Czech	mood_verb	last	99.8	96.55
chLSTM		Czech	nametype_propn	first	39.60591133004927	35.7
chLSTM		Czech	nametype_propn	last	39.90147783251232	38.45
chLSTM		Czech	number_adj	first	81.6	84.55
chLSTM		Czech	number_adj	last	83.7	85.1
chLSTM		Czech	number_noun	first	85.0	79.85
chLSTM		Czech	number_noun	last	86.55	83.2
chLSTM		Czech	number_propn	first	84.25	79.2
chLSTM		Czech	number_propn	last	89.0	81.65
chLSTM		Czech	number_verb	first	90.35	88.65
chLSTM		Czech	number_verb	last	91.95	91.15
chLSTM		Czech	person_verb	first	97.96019900497514	96.56716417910448
chLSTM		Czech	person_verb	last	99.70149253731344	97.66169154228855
chLSTM		Czech	polarity_adj	first	99.65	96.25
chLSTM		Czech	polarity_adj	last	99.45	95.55
chLSTM		Czech	polarity_verb	first	99.65	99.9
chLSTM		Czech	polarity_verb	last	99.0	99.7
chLSTM		Czech	voice_adj	first	99.9	99.3
chLSTM		Czech	voice_adj	last	100.0	99.45
chLSTM		Danish	definite_noun	first	98.55	98.2
chLSTM		Danish	definite_noun	last	98.3	98.3
chLSTM		Danish	gender_noun	first	81.15	77.65
chLSTM		Danish	gender_noun	last	82.25	80.25
chLSTM		Danish	number_noun	first	86.5	83.85
chLSTM		Danish	number_noun	last	87.3	88.1
chLSTM		Danish	tense_verb	first	99.3	96.2
chLSTM		Danish	tense_verb	last	99.55	97.2
chLSTM		Danish	verbform_verb	first	90.1492537313433	88.20895522388061
chLSTM		Danish	verbform_verb	last	90.9452736318408	91.54228855721394
chLSTM		Dutch	gender_noun	first	79.2	77.05
chLSTM		Dutch	gender_noun	last	83.4	83.25
chLSTM		Dutch	gender_propn	first	66.55	63.65
chLSTM		Dutch	gender_propn	last	67.3	62.9
chLSTM		Dutch	number_noun	first	98.3	96.15
chLSTM		Dutch	number_noun	last	98.1	97.4
chLSTM		Dutch	verbform_verb	first	84.92537313432838	87.11442786069654
chLSTM		Dutch	verbform_verb	last	87.01492537313433	87.86069651741295
chLSTM		English	number_noun	first	93.45	95.7
chLSTM		English	number_noun	last	94.95	96.95
chLSTM		English	tense_verb	first	98.1	95.5
chLSTM		English	tense_verb	last	98.3	95.3
chLSTM		English	verbform_verb	first	75.5	77.3
chLSTM		English	verbform_verb	last	73.1	75.3
chLSTM		Estonian	case_adj	first	94.25	90.2
chLSTM		Estonian	case_adj	last	97.95	94.65
chLSTM		Estonian	case_noun	first	75.33333333333333	72.52380952380953
chLSTM		Estonian	case_noun	last	89.42857142857142	87.85714285714285
chLSTM		Estonian	number_adj	first	96.95	96.1
chLSTM		Estonian	number_adj	last	98.05	97.5
chLSTM		Estonian	number_noun	first	93.8	91.55
chLSTM		Estonian	number_noun	last	95.35	95.9
chLSTM		Estonian	number_verb	first	97.95	98.75
chLSTM		Estonian	number_verb	last	98.75	99.4
chLSTM		Estonian	person_verb	first	96.26865671641792	96.55
chLSTM		Estonian	person_verb	last	97.51243781094527	96.55
chLSTM		Estonian	tense_adj	first	99.75	99.25
chLSTM		Estonian	tense_adj	last	100.0	99.4
chLSTM		Estonian	tense_verb	first	98.5	94.7
chLSTM		Estonian	tense_verb	last	97.7	95.2
chLSTM		Estonian	verbform_verb	first	97.2	95.69306930693068
chLSTM		Estonian	verbform_verb	last	97.25	97.72277227722773
chLSTM		Estonian	voice_adj	first	98.1	96.4
chLSTM		Estonian	voice_adj	last	98.45	96.55
chLSTM		Estonian	voice_verb	first	96.4	94.95
chLSTM		Estonian	voice_verb	last	96.15	95.35
chLSTM		Finnish	case_adj	first	83.75	83.97129186602872
chLSTM		Finnish	case_adj	last	94.71153846153845	94.01913875598086
chLSTM		Finnish	case_noun	first	73.04347826086956	73.08457711442786
chLSTM		Finnish	case_noun	last	89.42028985507247	89.60199004975125
chLSTM		Finnish	case_propn	first	81.48514851485149	81.9
chLSTM		Finnish	case_propn	last	92.62376237623764	92.95
chLSTM		Finnish	case_verb	first	86.57142857142857	83.28571428571429
chLSTM		Finnish	case_verb	last	93.28571428571429	92.76190476190477
chLSTM		Finnish	degree_adj	first	96.4	92.43781094527364
chLSTM		Finnish	degree_adj	last	97.25	97.91044776119404
chLSTM		Finnish	derivation_adj	first	95.9	97.05
chLSTM		Finnish	derivation_adj	last	95.8	98.05
chLSTM		Finnish	derivation_noun	first	97.72277227722772	96.85
chLSTM		Finnish	derivation_noun	last	98.26732673267327	97.95
chLSTM		Finnish	infform_verb	first	98.6	96.51741293532338
chLSTM		Finnish	infform_verb	last	99.65	98.75621890547265
chLSTM		Finnish	mood_verb	first	87.66169154228855	84.52736318407962
chLSTM		Finnish	mood_verb	last	91.99004975124379	88.955223880597
chLSTM		Finnish	number_adj	first	95.9	94.05
chLSTM		Finnish	number_adj	last	97.3	95.6
chLSTM		Finnish	number_noun	first	85.55	85.9
chLSTM		Finnish	number_noun	last	89.95	90.7
chLSTM		Finnish	number_verb	first	94.55	94.15
chLSTM		Finnish	number_verb	last	96.05	95.05
chLSTM		Finnish	partform_verb	first	99.35323383084578	98.1592039800995
chLSTM		Finnish	partform_verb	last	99.50248756218907	99.90049751243781
chLSTM		Finnish	tense_verb	first	95.1	93.45
chLSTM		Finnish	tense_verb	last	95.0	94.9
chLSTM		Finnish	verbform_verb	first	84.87562189054725	81.64179104477611
chLSTM		Finnish	verbform_verb	last	86.61691542288557	85.67164179104478
chLSTM		Finnish	voice_verb	first	92.75	91.15
chLSTM		Finnish	voice_verb	last	92.45	93.2
chLSTM		French	gender_adj	first	94.25	87.75
chLSTM		French	gender_adj	last	88.2	82.55
chLSTM		French	gender_noun	first	84.1	84.65
chLSTM		French	gender_noun	last	83.8	84.4
chLSTM		French	gender_verb	first	99.95	99.85
chLSTM		French	gender_verb	last	100.0	99.45
chLSTM		French	number_adj	first	98.1	97.9
chLSTM		French	number_adj	last	98.55	96.2
chLSTM		French	number_noun	first	95.7	96.3
chLSTM		French	number_noun	last	94.4	97.4
chLSTM		French	number_verb	first	99.25	97.2
chLSTM		French	number_verb	last	99.95	98.15
chLSTM		French	tense_verb	first	90.1	84.20792079207921
chLSTM		French	tense_verb	last	93.9	91.6831683168317
chLSTM		French	verbform_verb	first	96.26865671641792	94.5273631840796
chLSTM		French	verbform_verb	last	97.96019900497512	93.48258706467662
chLSTM		German	case_adj	first	73.7	70.35
chLSTM		German	case_adj	last	64.9	61.2
chLSTM		German	case_noun	first	69.05	60.8
chLSTM		German	case_noun	last	66.1	57.8
chLSTM		German	case_propn	first	67.55	64.6
chLSTM		German	case_propn	last	58.0	56.05
chLSTM		German	gender_adj	first	62.05	58.308457711442784
chLSTM		German	gender_adj	last	56.25	58.45771144278607
chLSTM		German	gender_noun	first	66.41791044776119	59.75124378109452
chLSTM		German	gender_noun	last	67.91044776119402	64.02985074626866
chLSTM		German	gender_propn	first	63.2	53.482587064676615
chLSTM		German	gender_propn	last	55.5	49.60199004975124
chLSTM		German	number_adj	first	85.7	80.95
chLSTM		German	number_adj	last	88.2	84.15
chLSTM		German	number_noun	first	87.55	82.2
chLSTM		German	number_noun	last	89.3	81.05
chLSTM		German	number_verb	first	96.55	98.85
chLSTM		German	number_verb	last	97.85	99.65
chLSTM		German	tense_verb	first	87.55	79.45
chLSTM		German	tense_verb	last	91.6	83.6
chLSTM		German	verbform_verb	first	89.7	81.69154228855722
chLSTM		German	verbform_verb	last	89.95	86.01990049751244
chLSTM		Greek	aspect_verb	first	95.15	91.75
chLSTM		Greek	aspect_verb	last	96.8	94.3
chLSTM		Greek	case_noun	first	85.42288557213931	82.5870646766169
chLSTM		Greek	case_noun	last	86.41791044776119	85.07462686567166
chLSTM		Greek	gender_noun	first	79.00497512437812	77.71144278606965
chLSTM		Greek	gender_noun	last	79.55223880597015	81.34328358208955
chLSTM		Greek	number_noun	first	95.0	93.2
chLSTM		Greek	number_noun	last	98.05	95.55
chLSTM		Greek	voice_verb	first	96.45	93.75
chLSTM		Greek	voice_verb	last	96.05	96.05
chLSTM		Hebrew	gender_noun	first	93.2	92.2
chLSTM		Hebrew	gender_noun	last	94.65	93.5
chLSTM		Hebrew	gender_verb	first	83.55	78.7
chLSTM		Hebrew	gender_verb	last	83.15	74.9
chLSTM		Hebrew	hebbinyan_verb	first	82.18905472636817	81.72413793103449
chLSTM		Hebrew	hebbinyan_verb	last	83.93034825870646	78.62068965517241
chLSTM		Hebrew	number_noun	first	94.15	92.7
chLSTM		Hebrew	number_noun	last	95.6	94.35
chLSTM		Hebrew	number_verb	first	95.05	97.65
chLSTM		Hebrew	number_verb	last	95.95	97.7
chLSTM		Hindi	case_adj	first	83.5	79.75
chLSTM		Hindi	case_adj	last	87.2	81.1
chLSTM		Hindi	case_noun	first	92.25	88.5
chLSTM		Hindi	case_noun	last	94.35	88.3
chLSTM		Hindi	case_propn	first	93.45	84.25
chLSTM		Hindi	case_propn	last	94.1	85.35
chLSTM		Hindi	gender_noun	first	76.5	75.5
chLSTM		Hindi	gender_noun	last	78.45	75.45
chLSTM		Hindi	gender_propn	first	67.25	59.35
chLSTM		Hindi	gender_propn	last	77.05	60.9
chLSTM		Hindi	number_noun	first	84.45	85.9
chLSTM		Hindi	number_noun	last	86.9	89.7
chLSTM		Hungarian	number[psor]_noun	first	92.8	90.9
chLSTM		Hungarian	number[psor]_noun	last	95.05	92.4
chLSTM		Hungarian	number_noun	first	96.9	94.0
chLSTM		Hungarian	number_noun	last	98.2	94.95
chLSTM		Hungarian	person[psor]_noun	first	91.75	89.35
chLSTM		Hungarian	person[psor]_noun	last	92.9	92.2
chLSTM		Italian	gender_adj	first	98.65	89.4
chLSTM		Italian	gender_adj	last	99.4	89.45
chLSTM		Italian	gender_noun	first	92.6	89.0
chLSTM		Italian	gender_noun	last	89.6	87.7
chLSTM		Italian	number_adj	first	96.4	93.65
chLSTM		Italian	number_adj	last	96.5	93.15
chLSTM		Italian	number_noun	first	93.15	91.25
chLSTM		Italian	number_noun	last	95.8	89.8
chLSTM		Italian	number_verb	first	91.45	95.15
chLSTM		Italian	number_verb	last	92.4	95.55
chLSTM		Italian	person_verb	first	87.2	84.55
chLSTM		Italian	person_verb	last	91.35	87.45
chLSTM		Italian	tense_verb	first	84.85	78.35
chLSTM		Italian	tense_verb	last	90.4	82.65
chLSTM		Italian	verbform_verb	first	93.55	90.85
chLSTM		Italian	verbform_verb	last	96.95	95.85
chLSTM		Latin	aspect_verb	first	99.6	98.2
chLSTM		Latin	aspect_verb	last	100.0	98.9
chLSTM		Latin	case_verb	first	70.89552238805969	62.67326732673267
chLSTM		Latin	case_verb	last	79.8507462686567	77.27722772277228
chLSTM		Latin	gender_adj	first	62.38805970149254	62.189054726368155
chLSTM		Latin	gender_adj	last	68.70646766169155	71.64179104477611
chLSTM		Latin	gender_noun	first	70.09950248756219	61.59203980099503
chLSTM		Latin	gender_noun	last	75.5223880597015	66.76616915422886
chLSTM		Latin	gender_verb	first	68.65671641791046	61.442786069651746
chLSTM		Latin	gender_verb	last	71.64179104477611	70.89552238805972
chLSTM		Latin	mood_verb	first	82.53731343283582	79.35
chLSTM		Latin	mood_verb	last	87.16417910447761	84.25
chLSTM		Latin	number_adj	first	80.7	77.0
chLSTM		Latin	number_adj	last	80.6	87.1
chLSTM		Latin	number_noun	first	84.95	75.55
chLSTM		Latin	number_noun	last	87.55	79.15
chLSTM		Latin	number_verb	first	90.4	88.05
chLSTM		Latin	number_verb	last	94.4	92.85
chLSTM		Latin	person_verb	first	93.13432835820895	92.13930348258707
chLSTM		Latin	person_verb	last	92.93532338308458	93.93034825870647
chLSTM		Latin	tense_verb	first	80.04950495049505	72.43781094527363
chLSTM		Latin	tense_verb	last	85.84158415841583	77.76119402985074
chLSTM		Latin	verbform_verb	first	88.70646766169153	82.58706467661692
chLSTM		Latin	verbform_verb	last	92.88557213930349	87.16417910447761
chLSTM		Latin	voice_verb	first	93.65	86.95
chLSTM		Latin	voice_verb	last	95.65	88.65
chLSTM		Latvian	case_adj	first	75.55	73.1
chLSTM		Latvian	case_adj	last	82.35	81.2
chLSTM		Latvian	case_noun	first	79.8	78.5
chLSTM		Latvian	case_noun	last	89.1	83.95
chLSTM		Latvian	case_propn	first	82.0	80.9
chLSTM		Latvian	case_propn	last	90.25	90.0
chLSTM		Latvian	definite_adj	first	94.85	93.6
chLSTM		Latvian	definite_adj	last	96.3	94.65
chLSTM		Latvian	definite_verb	first	96.75	95.55
chLSTM		Latvian	definite_verb	last	98.15	95.9
chLSTM		Latvian	gender_adj	first	84.6	81.9
chLSTM		Latvian	gender_adj	last	87.95	84.6
chLSTM		Latvian	gender_noun	first	81.55	78.6
chLSTM		Latvian	gender_noun	last	86.45	83.15
chLSTM		Latvian	gender_propn	first	80.65	83.45
chLSTM		Latvian	gender_propn	last	84.2	86.35
chLSTM		Latvian	gender_verb	first	92.5	93.75
chLSTM		Latvian	gender_verb	last	91.9	93.35
chLSTM		Latvian	number_adj	first	87.25	87.95
chLSTM		Latvian	number_adj	last	91.7	92.05
chLSTM		Latvian	number_verb	first	91.55	89.05
chLSTM		Latvian	number_verb	last	92.55	88.8
chLSTM		Latvian	person_verb	first	93.53233830845772	85.5223880597015
chLSTM		Latvian	person_verb	last	94.12935323383084	86.76616915422883
chLSTM		Latvian	polarity_verb	first	100.0	98.85
chLSTM		Latvian	polarity_verb	last	99.4	98.6
chLSTM		Latvian	tense_verb	first	82.28855721393036	82.53731343283582
chLSTM		Latvian	tense_verb	last	90.69651741293532	87.46268656716417
chLSTM		Latvian	verbform_verb	first	85.25	84.15
chLSTM		Latvian	verbform_verb	last	90.45	87.65
chLSTM		Latvian	voice_verb	first	93.7	93.8
chLSTM		Latvian	voice_verb	last	95.3	96.6
chLSTM		Lithuanian	case_noun	first	79.3627450980392	77.84313725490196
chLSTM		Lithuanian	case_noun	last	88.5294117647059	88.43137254901963
chLSTM		Lithuanian	gender_noun	first	81.85	77.45
chLSTM		Lithuanian	gender_noun	last	86.9	82.75
chLSTM		Lithuanian	number_noun	first	84.75	86.05
chLSTM		Lithuanian	number_noun	last	90.9	90.25
chLSTM		Lithuanian	number_verb	first	72.95	76.25
chLSTM		Lithuanian	number_verb	last	74.95	81.2
chLSTM		Norwegian_Bokmal	definite_adj	first	97.6	97.25
chLSTM		Norwegian_Bokmal	definite_adj	last	97.25	96.95
chLSTM		Norwegian_Bokmal	definite_noun	first	97.0	97.1
chLSTM		Norwegian_Bokmal	definite_noun	last	97.7	99.5
chLSTM		Norwegian_Bokmal	gender_noun	first	70.54726368159204	67.41293532338308
chLSTM		Norwegian_Bokmal	gender_noun	last	73.43283582089553	70.64676616915423
chLSTM		Norwegian_Bokmal	number_adj	first	89.9	90.15
chLSTM		Norwegian_Bokmal	number_adj	last	90.1	90.95
chLSTM		Norwegian_Bokmal	number_noun	first	92.2	89.75
chLSTM		Norwegian_Bokmal	number_noun	last	94.3	90.85
chLSTM		Norwegian_Bokmal	tense_verb	first	98.3	98.1
chLSTM		Norwegian_Bokmal	tense_verb	last	99.7	97.65
chLSTM		Norwegian_Bokmal	verbform_verb	first	93.18407960199006	91.09452736318408
chLSTM		Norwegian_Bokmal	verbform_verb	last	95.02487562189053	93.83084577114428
chLSTM		Norwegian_Nynorsk	definite_adj	first	97.1	96.25
chLSTM		Norwegian_Nynorsk	definite_adj	last	97.9	95.55
chLSTM		Norwegian_Nynorsk	definite_noun	first	96.55	95.9
chLSTM		Norwegian_Nynorsk	definite_noun	last	97.5	98.4
chLSTM		Norwegian_Nynorsk	gender_noun	first	76.56716417910448	74.5273631840796
chLSTM		Norwegian_Nynorsk	gender_noun	last	79.55223880597015	76.46766169154228
chLSTM		Norwegian_Nynorsk	number_adj	first	93.05	90.15
chLSTM		Norwegian_Nynorsk	number_adj	last	92.0	86.3
chLSTM		Norwegian_Nynorsk	number_noun	first	82.4	88.4
chLSTM		Norwegian_Nynorsk	number_noun	last	84.95	90.5
chLSTM		Norwegian_Nynorsk	tense_verb	first	93.8	92.25
chLSTM		Norwegian_Nynorsk	tense_verb	last	96.25	91.55
chLSTM		Norwegian_Nynorsk	verbform_verb	first	86.25	79.65174129353234
chLSTM		Norwegian_Nynorsk	verbform_verb	last	92.45	82.78606965174129
chLSTM		Persian	number_noun	first	88.75	86.4
chLSTM		Persian	number_noun	last	92.0	87.65
chLSTM		Polish	animacy_adj	first	69.85	72.9
chLSTM		Polish	animacy_adj	last	69.65	73.65
chLSTM		Polish	animacy_noun	first	59.1	51.442786069651746
chLSTM		Polish	animacy_noun	last	61.45	55.77114427860696
chLSTM		Polish	aspect_adj	first	91.2	91.4
chLSTM		Polish	aspect_adj	last	90.65	88.85
chLSTM		Polish	aspect_verb	first	80.75	82.6
chLSTM		Polish	aspect_verb	last	82.35	81.8
chLSTM		Polish	case_adj	first	86.0	79.55
chLSTM		Polish	case_adj	last	81.2	73.15
chLSTM		Polish	case_propn	first	70.79207920792079	69.1
chLSTM		Polish	case_propn	last	70.6930693069307	70.25
chLSTM		Polish	gender_adj	first	73.03482587064677	71.39303482587063
chLSTM		Polish	gender_adj	last	72.48756218905473	73.58208955223881
chLSTM		Polish	gender_noun	first	70.69651741293532	68.40796019900498
chLSTM		Polish	gender_noun	last	79.35323383084578	75.07462686567163
chLSTM		Polish	gender_propn	first	57.611940298507456	59.0
chLSTM		Polish	gender_propn	last	58.855721393034834	53.3
chLSTM		Polish	gender_verb	first	94.77611940298507	93.33333333333334
chLSTM		Polish	gender_verb	last	94.57711442786069	95.17412935323384
chLSTM		Polish	mood_verb	first	98.25	96.45
chLSTM		Polish	mood_verb	last	99.3	97.85
chLSTM		Polish	number_adj	first	93.5	88.45
chLSTM		Polish	number_adj	last	94.85	89.2
chLSTM		Polish	number_noun	first	86.25	79.1
chLSTM		Polish	number_noun	last	86.65	82.4
chLSTM		Polish	number_verb	first	98.25	98.05
chLSTM		Polish	number_verb	last	99.45	98.75
chLSTM		Polish	person_verb	first	98.35820895522387	97.15
chLSTM		Polish	person_verb	last	99.15422885572141	99.3
chLSTM		Polish	subgender_adj	first	76.75	66.7
chLSTM		Polish	subgender_adj	last	78.15	69.2
chLSTM		Polish	tense_verb	first	83.83084577114428	76.85
chLSTM		Polish	tense_verb	last	84.6766169154229	76.95
chLSTM		Polish	verbform_verb	first	86.65	87.07920792079207
chLSTM		Polish	verbform_verb	last	91.95	91.1881188118812
chLSTM		Polish	voice_adj	first	99.4	99.9
chLSTM		Polish	voice_adj	last	100.0	99.3
chLSTM		Portuguese	gender_noun	first	92.75	93.95
chLSTM		Portuguese	gender_noun	last	92.15	91.75
chLSTM		Portuguese	gender_propn	first	86.15	74.1
chLSTM		Portuguese	gender_propn	last	84.6	71.2
chLSTM		Portuguese	number_noun	first	98.0	96.1
chLSTM		Portuguese	number_noun	last	99.35	97.6
chLSTM		Portuguese	number_verb	first	99.45	98.9
chLSTM		Portuguese	number_verb	last	99.5	99.4
chLSTM		Romanian	definite_noun	first	96.15	89.5
chLSTM		Romanian	definite_noun	last	97.9	89.85
chLSTM		Romanian	gender_adj	first	98.0	95.25
chLSTM		Romanian	gender_adj	last	98.45	95.5
chLSTM		Romanian	gender_noun	first	92.95	87.5
chLSTM		Romanian	gender_noun	last	94.05	90.55
chLSTM		Romanian	mood_verb	first	85.87064676616916	83.48258706467662
chLSTM		Romanian	mood_verb	last	87.86069651741293	83.88059701492537
chLSTM		Romanian	number_adj	first	94.75	96.5
chLSTM		Romanian	number_adj	last	95.7	96.8
chLSTM		Romanian	number_noun	first	93.25	90.5
chLSTM		Romanian	number_noun	last	96.3	94.2
chLSTM		Romanian	number_verb	first	88.45	86.6
chLSTM		Romanian	number_verb	last	93.3	88.35
chLSTM		Romanian	person_verb	first	86.3	81.94029850746269
chLSTM		Romanian	person_verb	last	87.25	84.5273631840796
chLSTM		Romanian	tense_verb	first	92.47524752475246	86.25
chLSTM		Romanian	tense_verb	last	89.75247524752476	83.35
chLSTM		Romanian	verbform_verb	first	91.4	85.0
chLSTM		Romanian	verbform_verb	last	91.0	86.7
chLSTM		Russian	animacy_adj	first	71.8	67.15
chLSTM		Russian	animacy_adj	last	73.05	70.0
chLSTM		Russian	animacy_noun	first	71.25	64.45
chLSTM		Russian	animacy_noun	last	74.0	63.9
chLSTM		Russian	animacy_propn	first	74.3	74.55
chLSTM		Russian	animacy_propn	last	74.15	73.9
chLSTM		Russian	aspect_verb	first	87.35	82.35
